Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Citations	Number of Web Hits per Day	Number of Citations per Day
Autistic Spectrum Disorder Screening Data for Children  	Multivariate	Integer	Classification	292	21	Yes	Life	2017-12-24	1059	47270	0	44.63644948064211	0.0
Autistic Spectrum Disorder Screening Data for Adolescent   	Multivariate	Integer	Classification	104	21	Yes	Life	2017-12-24	1059	32527	0	30.714825306893296	0.0
APS Failure at Scania Trucks	Multivariate	Integer, Real	Classification	60000	171	Yes	Computer	2017-12-08	1075	60102	0	55.90883720930233	0.0
Wireless Indoor Localization	Multivariate	Real	Classification	2000	7		Computer	2017-12-04	1079	48587	0	45.02965708989805	0.0
HCC Survival	Multivariate	Integer, Real	Classification	165	49	Yes	Life	2017-11-29	1084	36102	0	33.30442804428044	0.0
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015	Multivariate	Integer	Classification, Regression	217	12	Yes	Computer	2017-10-11	1133	32891	0	29.030008826125332	0.0
University of Tehran Question Dataset 2016 (UTQD.2016)	Text		Classification	1175	3	Yes		2017-09-27	1147	13417	0	11.6974716652136	0.0
Autism Screening Adult		Integer	Classification	704	21	Yes	Social	2017-12-24	1059	64515	0	60.920679886685555	0.0
Activity recognition with healthy older people using a batteryless wearable sensor	Sequential	Real	Classification	75128	9		Life	2016-12-12	1436	37377	0	26.028551532033426	0.0
Immunotherapy Dataset	Univariate	Integer, Real	Classification	90	8		Life	2018-01-04	1048	53314	0	50.87213740458015	0.0
Cryotherapy Dataset 	Univariate	Integer, Real	Classification	90	7		Life	2018-01-04	1048	45899	0	43.79675572519084	0.0
OCT data & Color Fundus Images of Left & Right Eyes	Multivariate	Real	Classification	50	2		Computer	2016-11-01	1477	17078	0	11.562626946513202	0.0
Discrete Tone Image Dataset	Multivariate		Classification	71	11		Computer	2018-01-20	1032	20874	0	20.226744186046513	0.0
News Popularity in Multiple Social Media Platforms	Multivariate, Time-Series, Text	Integer, Real	Regression	93239	11		Computer	2018-02-20	1001	61120	0	61.05894105894106	0.0
Ultrasonic flowmeter diagnostics	Multivariate	Real	Classification	540	173		Computer	2018-01-13	1039	18266	0	17.58036573628489	0.0
ICMLA 2014 Accepted Papers Data Set	Multivariate		Classification, Clustering	105	5			2018-02-19	1002	16286	0	16.253493013972054	0.0
BLE RSSI Dataset for Indoor localization and Navigation	Multivariate, Sequential, Time-Series	Integer	Classification, Clustering	6611	15	Yes	Computer	2018-01-25	1027	32604	0	31.746835443037973	0.0
