Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Citations	Number of Web Hits per Day	Number of Citations per Day
Internet Firewall Data	Multivariate		Classification	65532	12		Computer	2019-02-04	652	3726	0	5.714723926380368	0.0
User Profiling and Abusive Language Detection Dataset			Classification	65919	3		Computer	2019-04-25	572	1452	0	2.5384615384615383	0.0
Estimation of obesity levels based on eating habits and physical condition 	Multivariate	Integer	Classification, Regression, Clustering	2111	17		Life	2019-08-27	448	10868	0	24.258928571428573	0.0
Rice (Cammeo and Osmancik)	Multivariate	Real	Classification	3810	8		Computer	2019-10-06	408	3250	0	7.965686274509804	0.0
Vehicle routing and scheduling problems	Multivariate	Integer, Real	Clustering	18	9		Business	2019-10-07	407	2790	0	6.855036855036855	0.0
Algerian Forest Fires Dataset  	Multivariate	Real	Classification, Regression	244	12		Life	2019-10-22	392	6217	0	15.85969387755102	0.0
Breath Metabolomics	Multivariate, Time-Series	Real	Classification, Clustering	104	1656		Life	2019-11-08	375	2925	0	7.8	0.0
Horton General Hospital	Multivariate, Time-Series	Integer	Causal-Discovery	139	6		Life	2019-11-13	370	1904	0	5.145945945945946	0.0
UrbanGB, urban road accidents coordinates labelled by the urban center	Univariate	Real	Clustering	360177	2		Computer	2019-11-22	361	1531	0	4.240997229916897	0.0
Gas Turbine CO and NOx Emission Data Set	Multivariate	Real	Regression, Clustering	36733	11		Computer	2019-11-29	354	4015	0	11.341807909604519	0.0
Activity recognition using wearable physiological measurements	Multivariate	Real	Classification	4480	533		Life	2019-12-04	349	3608	0	10.33810888252149	0.0
clickstream data for online shopping	Multivariate, Sequential	Integer, Real	Classification, Regression, Clustering	165474	14		Business	2019-12-09	344	9942	0	28.901162790697676	0.0
CNNpred: CNN-based stock market prediction using a diverse set of variables	Sequential, Time-Series	Real	Classification, Regression	1985	84	Yes	Computer	2019-12-26	327	3317	0	10.143730886850152	0.0
Apartment for rent classified	Multivariate		Classification, Regression, Clustering	10000	22		Business	2019-12-26	327	13634	0	41.694189602446485	0.0
: Simulated Data set of Iraqi tourism places	Multivariate		Classification, Clustering	232	16		Computer	2020-01-10	312	2806	0	8.993589743589743	0.0
Nasarian CAD Dataset	Multivariate		Classification	150	52		Life	2020-02-28	263	1002	0	3.8098859315589353	0.0
Monolithic Columns in Troad and Mysia Region	Multivariate	Real	Classification	11	19		Computer	2020-02-08	283	656	0	2.3180212014134276	0.0
Bar Crawl: Detecting Heavy Drinking	Multivariate, Time-Series	Real	Classification, Regression	14057567	3		Life	2020-02-24	267	59714	0	223.64794007490636	0.0
Seoul Bike Sharing Demand	Multivariate	Integer, Real	Regression	8760	14		Computer	2020-03-01	261	7874	0	30.168582375478927	0.0
Person Classification Gait Data	Multivariate	Real	Classification	48	321		Computer	2020-03-02	260	1909	0	7.342307692307692	0.0
Shill Bidding Dataset	Multivariate		Classification, Clustering	6321	13		Computer	2020-03-10	252	2549	0	10.115079365079366	0.0
Iranian Churn Dataset	Multivariate	Integer	Classification, Regression	3150	13		Business	2020-04-09	222	5845	0	26.32882882882883	0.0
Unmanned Aerial Vehicle (UAV) Intrusion Detection	Multivariate	Real	Classification	17256	55		Computer	2020-04-12	219	3054	0	13.945205479452055	0.0
Bone marrow transplant: children	Multivariate	Integer, Real	Classification, Regression	187	39	Yes	Life	2020-04-21	210	5546	0	26.409523809523808	0.0
Exasens	Multivariate	Integer	Classification, Clustering	399	4	Yes	Life	2020-04-22	209	7859	0	37.60287081339713	0.0
COVID-19 Surveillance	Multivariate		Classification	14	7		Computer	2020-04-24	207	11731	0	56.671497584541065	0.0
Refractive errors	Multivariate	Integer	Classification	467	79	Yes	Life	2020-04-27	204	1858	0	9.107843137254902	0.0
Shoulder Implant X-Ray Manufacturer Classification	Multivariate	Real	Classification	597	1		Life	2020-05-20	181	4324	0	23.88950276243094	0.0
CLINC150	Text		Classification	23700				2020-05-08	193	2052	0	10.632124352331607	0.0
HCV data	Multivariate	Integer, Real	Classification, Clustering	615	14	Yes	Life	2020-06-10	160	17082	0	106.7625	0.0
Taiwanese Bankruptcy Prediction	Multivariate	Integer	Classification	6819	96		Business	2020-06-28	142	15699	0	110.55633802816901	0.0
South German Credit (UPDATE)	Multivariate	Integer, Real	Classification, Regression, Clustering	1000	21		Business	2020-06-20	150	11822	0	78.81333333333333	0.0
IIWA14-R820-Gazebo-Dataset-10Trajectories		Integer	Regression				Computer	2020-06-09	161	2138	0	13.279503105590063	0.0
Guitar Chords finger positions	Text		Classification	2633	5			2020-06-05	165	8484	0	51.41818181818182	0.0
Russian Corpus of Biographical Texts	Text		Classification	200	2			2020-06-03	167	1514	0	9.065868263473053	0.0
Codon usage	Multivariate		Classification, Clustering	13028	69	Yes	Life	2020-10-03	45	7781	0	172.9111111111111	0.0
Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset	Time-Series	Real	Classification	800	9		Physical	2020-09-03	75	2433	0	32.44	0.0
