Attribute Characteristics	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Categorical	81	81	12	5.04193872425917	221.578295784073	27.8513493750351	20.120690320109	9.88339021615472	16.8981441519206	28.1710337401292	216.536357059814	1191.43385093402	34.5171529957791	3.47606470342509	14.25619553981	5.23602402372076	5.43010932318234	6.71279069767442	115.079140948677	163.130314932777	192.354305358425
Integer	215	215	9	1.78506097560976	372.021081576535	49.0239619294068	36.5795055250995	15.5191293431636	28.9011627906977	60.9898104728133	370.236020600925	2887.15512832132	53.7322540781729	2.69691735534905	9.63339382357741	2.72572059092146	4.47305165921663	7.6060754993203	145.108115922712	278.102517448943	295.05517675296
Real	300	300	10	1.78506097560976	413.954673335417	52.4213793303745	37.5452271027077	19.7488560882652	32.7393798449612	61.1836469251976	412.169612359808	3475.29748754182	58.9516538151545	2.95835312995296	10.614887230868	2.45521777454748	4.22453911757396	6.9475408037908	150.539817560643	300.820859433721	322.099945282854
All	448	448	20	1.78506097560976	413.954673335417	47.7484250089279	34.8821173215336	16.8623052918904	29.5409562727882	55.700794207986	412.169612359808	3068.71106032613	55.3959480497096	3.17071893366517	12.6054756668381	2.98195163568255	4.5038965960243	7.21545183464978	149.091093274533	298.338980817577	328.611358376686
