Data Set Characteristics	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Time-Series	109	109	4	5.04193872425917	364.187995860642	61.296400980962	45.0740612525734	23.3355886332882	36.1556072953046	69.8900235663786	359.146057136382	4750.90354509109	68.9267984538023	2.47175485354306	6.15146281178983	5.09810262397003	5.2050762554331	9.59733299219026	223.646441947566	299.659305668714	329.922659000418
Univariate	26	26	1	4.2409972299169	207.573692551506	50.8545878809314	37.2273444940921	17.0614572840853	31.1440015568176	55.6094325028177	203.332695321589	3069.58988482896	55.4038796911278	1.97784839892044	3.17189183271122	4.44650692799421	4.65201662607152	6.61319261396903	181.860477178423	201.145518376285	204.359605463895
Multivariate	419	419	15	1.02892561983471	413.954673335417	49.7219830647435	37.5350698622158	17.0214554794548	29.843487621098	55.7701418750914	412.925747715583	3533.74873650921	59.4453424290684	3.05179465348119	11.2047993879025	2.34296603289235	3.16860252931083	6.84081223930061	156.311141156179	307.883337886694	361.515776898372
Sequential	52	52	3	7.23319517030095	300.733668341709	44.9979290224581	32.3193739945541	19.6846635935182	29.1660219774022	43.9681942373322	293.500473171408	3476.69421115409	58.9634989731282	3.46363697008287	12.2184167737133	7.74316267279054	8.25313017528014	10.0265775850372	145.482657674772	293.884606301365	297.309137321537
Text	62	62	1	1.96440677966102	207.089834515366	37.2563425344624	24.7831252311447	13.1522024526694	25.8350659191781	51.464916254082	205.125427735705	1211.40761688515	34.8052814510262	2.3857273826411	8.42066279579587	2.28875177747077	2.61309677528052	7.65308864424546	106.327174829553	148.050915289319	177.570374902343
Domain-Theory	18	18	5	2.62267965447528	107.08013029316	28.787325148522	21.818648151258	8.65216979666588	18.5250873149915	40.2211697302598	104.457450638684	796.975869522968	28.2307610510763	1.50988351076151	2.08134956065845	2.75864077273377	2.89460189099226	3.98229083706018	70.0583615353159	99.6757765415909	103.377953417375
All	510	510	26	1.02892561983471	413.954673335417	46.3988901141464	34.5298881581048	15.6743679462429	28.9655858084115	51.874253850274	412.925747715583	3102.86739692711	55.7033876611388	3.24163073785078	13.0069762221999	2.15712663951608	2.65914345575143	6.69590371425414	149.668815266596	300.275111156237	348.006225478011
