Name	Link
Ecoli	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Ecoli
Economic Sanctions	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Economic+Sanctions
EEG Database	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/EEG+Database
El Nino	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/El+Nino
Entree Chicago Recommendation Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Entree+Chicago+Recommendation+Data
Flags	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Flags
Function Finding	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Function+Finding
Glass Identification	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Glass+Identification
Haberman's Survival	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival
Hayes-Roth	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Hayes-Roth
Heart Disease	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Heart+Disease
Hepatitis	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Hepatitis
Horse Colic	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Horse+Colic
Housing	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Housing
ICU	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/ICU
Image Segmentation	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Image+Segmentation
Insurance Company Benchmark (COIL 2000)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29
Internet Advertisements	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Internet+Advertisements
Internet Usage Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data
Ionosphere	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Ionosphere
IPUMS Census Database	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/IPUMS+Census+Database
Iris	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Iris
ISOLET	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/ISOLET
Japanese Credit Screening	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening
Japanese Vowels	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Japanese+Vowels
KDD Cup 1998 Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data
KDD Cup 1999 Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data
Kinship	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Kinship
Labor Relations	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Labor+Relations
LED Display Domain	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/LED+Display+Domain
Lenses	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Lenses
Letter Recognition	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Letter+Recognition
Liver Disorders	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Liver+Disorders
Logic Theorist	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Logic+Theorist
Low Resolution Spectrometer	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer
Lung Cancer	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Lung+Cancer
Lymphography	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Lymphography
M. Tuberculosis Genes	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/M.+Tuberculosis+Genes
MAGIC Gamma Telescope	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope
Mechanical Analysis	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Mechanical+Analysis
Meta-data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Meta-data
Mobile Robots	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Mobile+Robots
Molecular Biology (Promoter Gene Sequences)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Promoter+Gene+Sequences%29
Molecular Biology (Protein Secondary Structure)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Protein+Secondary+Structure%29
Molecular Biology (Splice-junction Gene Sequences)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Splice-junction+Gene+Sequences%29
MONK's Problems	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems
Moral Reasoner	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Moral+Reasoner
Movie	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Movie
MSNBC.com Anonymous Web Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/MSNBC.com+Anonymous+Web+Data
Multiple Features	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Multiple+Features
Mushroom	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Mushroom
Musk (Version 1)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29
Musk (Version 2)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+2%29
NSF Research Award Abstracts 1990-2003	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/NSF+Research+Award+Abstracts+1990-2003
Nursery	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Nursery
Optical Recognition of Handwritten Digits	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits
Othello Domain Theory	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Othello+Domain+Theory
